Avis_efficacite_travail_confine,lieu_confinement,variation_temps_travail_conf,nbre_personne_dans_lieu_conf,efficacite_consignes_teletravaildonne_par_employeur,progression_sur_outils_collaboratifs,age,eval_suivi_actualite,frequence_sortir_en_semaine,eval_frequence_interaction_avec_collegues_enconf,evaluation_condition_travail_avant_conf,Consequence_negatives_teletravailconfines,impact_confinnement_relations_avec_confines,nature_travail,nbre_enfants_moins_12,eval_contact_avec_famille,isolation_pour travailler,evaluation_concentration_enconf,avantage_teletravail_confin,fréquence_téletravail_avant_conf,reamenagement_heures_travails_habituels,evaluation_manger,evaluatuin_boire_alcool,evaluation_condition_travail_apres_debut_conf,inquiet_sur_perennite_acauseCovid,taille_entreprise,nbre_resident_enresidence_principal,aimer_continuer_teltravail_enfutur,tempstransport_maison_entreprise,activite_sportif,statut_professionnel,soin_apparence_en_conf,contraries_lies_covid19,genre,acces_surface_exterieur,surface_lieu_confinement,satisfaction_equipement_bureautique,region,cause_distraction,longitude,latitude,nbre_personne_symptem_covid,apprend_de_cette_experience,eval_bien_etre_apres_conf,eval_bien_etre_avant_conf,statut_familial
3,Dans votre domicile,2,4.0,4,"Non, je les utilisais déjà beaucoup",46.0,4,Une fois par jour,3,4,Les journées en télétravail sont plus fatiguantes,"Oui, on est plus proches",Travailler en équipe,0.0,4,Oui,2,Vous perdez moins de temps dans les transports,1 fois par semaine,Mon travail est plus étalé sur la journée,3,3,3,Non pas du tout,Entreprise de taille intermédiaire (250 à 5000 salariés),4.0,"Oui, le plus possible",Plus d'une heure,3,Cadre ou profession intellectuelle supérieure,3,La santé de vos proches,Un homme,"Oui, un jardin",160.0,3,11,La situation liée au Covid 19,2.50339683029,48.7093130373,1-3 personnes,A faire plus attention à mes proches,4.0,4.0,En couple et nous sommes confinés ensemble
1,Chez ma copine,2,2.0,4,"Non, je les utilisais déjà beaucoup",24.0,4,Un jour sur deux ou moins,3,4,C'est difficile de se concentrer,C'est pareil,Travailler en équipe,0.0,3,Oui,2,Vous perdez moins de temps dans les transports,Jamais,Mon travail est plus étalé sur la journée,4,2,3,Un peu,Grande entreprise (plus de 5000 salariés),1.0,Non,De 10 à 30min,1,Cadre ou profession intellectuelle supérieure,2,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,Vous avez des sautes d'humeur,Grossir",Un homme,Aucun espace extérieur,50.0,4,27,"Vous regardez très régulièrement l'actualité,lié aux faibles tâche à faire",4.80684682586,47.2342810903,4-9 personnes,a faire de nouvelles choses,4.0,4.0,En couple et nous sommes confinés ensemble
2,Dans votre domicile,2,2.0,1,Un peu,57.0,4,Une fois par jour,1,4,"Vous vous sentez isolé.e,Vous avez l'impression de ne jamais vous arrêter de travailler",C'est pareil,Travailler en équipe,0.0,4,Oui,1,Vous perdez moins de temps dans les transports,Jamais,"Mon travail est plus étalé sur la journée, le soir et même le weekend",3,3,2,Non pas du tout,Institution publique,2.0,"Oui, une fois de temps en temps",De 10 à 30min,1,Profession intermédiaire,2,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,Ne pas pouvoir sortir dehors,Avoir des projets annulés,La santé de vos proches,Vous avez des sautes d'humeur",Une femme,"Oui, une cour",70.0,2,52,La situation liée au Covid 19,-0.816811477397,47.4780987977,1-3 personnes,Rien,2.0,5.0,Célibataire
3,Dans votre domicile,3,1.0,4,"Non, je les utilisais déjà beaucoup",38.0,4,Une fois dans la semaine ou moins,3,3,Vous vous sentez isolé.e,C'est pareil,"Travailler en équipe,Vous travaillez seul la plupart du temps",0.0,4,Oui,3,"Vous avez davantage de temps libre, Vous en profitez pour apprendre de nouvelles choses, Vous pouvez vous habiller comme vous voulez, Vous ressentez moins de pression professionnelle et êtes plus détendu.e, Vous pouvez faire des pauses dans la journée, Vous perdez moins de temps dans les transports",Exceptionnellement,Mon travail est plus étalé sur la journée,3,1,3,Un peu,Petite et moyenne entreprise (10 à 250 salariés),2.0,"Oui, une fois de temps en temps",De 10 à 30min,3,Cadre ou profession intellectuelle supérieure,2,"Les gens qui sortent,la quarantaine devrait être plus stricte,L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,Avoir des projets annulés",Une femme,"Oui, un jardin",35.0,5,11,Vous n'êtes pas particulièrement distrait.e,2.50339683029,48.7093130373,Aucune,Rien,3.0,3.0,Célibataire
2,Dans votre domicile,3,2.0,5,Un peu,58.0,4,Un jour sur deux ou moins,1,3,"Vous vous sentez isolé.e,La communication avec vos collègues est moins fluide,Réunions et ateliers ont été annulés par indisponibilité des parties prenantes ou impossibilité de les oraganiser","Oui, on est plus proches",Travailler en équipe,0.0,3,Oui,4,"Vous êtes plus concentré.e sur votre travail, Vous perdez moins de temps dans les transports, Vous dormez mieux, Vous en profitez pour apprendre de nouvelles choses, Je peux profiter de mon jardin et varier les postures de travail",Exceptionnellement,Non,3,4,4,Non pas du tout,Institution publique,2.0,"Oui, une fois de temps en temps",De 30min à 1h,1,Cadre ou profession intellectuelle supérieure,2,"Avoir des projets annulés,Ne pas pouvoir sortir dehors,La santé de vos proches,L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,Grossir",Une femme,"Oui, un jardin",120.0,4,53,La situation liée au Covid 19,-2.84155100405,48.177562744,Aucune,"A faire plus attention à mes proches, A être plus empathique, A changer mes priorités",3.0,4.0,En couple et nous sommes confinés ensemble
3,Dans votre domicile,2,4.0,5,"Non, je les utilisais déjà beaucoup",49.0,5,Une fois dans la semaine ou moins,5,4,Vous êtes trop souvent interrompu.e par les personnes qui vous entourent,"Non, nos relations se détériorent légèrement",Travailler en équipe,0.0,5,Oui,2,Vous interagissez davantage avec les personnes qui vous entourent,2 fois par semaine ou plus,Mon travail est plus étalé sur la journée et le soir,4,3,3,Un peu,Très petite entreprise (moins de 10 salariés),4.0,Comme avant (si vous en faisiez déjà),Plus d'une heure,1,Cadre ou profession intellectuelle supérieure,3,"Les gens qui sortent,la quarantaine devrait être plus stricte,L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches,Vous dormez mal,Vous avez des sautes d'humeur,Ne pas pouvoir sortir dehors,Avoir des projets annulés",Une femme,"Oui, un jardin",120.0,4,93,"La situation liée au Covid 19,La présence d'autres personnes,Vous regardez très régulièrement l'actualité",6.06098593796,43.9587502921,Aucune,"A faire plus attention à mes proches, A changer mes priorités",2.0,4.0,En couple et nous sommes confinés ensemble
2,Dans votre domicile,1,1.0,4,Un peu,30.0,4,Un jour sur deux ou moins,4,4,"Vous vous sentez isolé.e,C'est difficile de se concentrer",C'est pareil,Travailler en équipe,0.0,4,Oui,1,Vous pouvez vous habiller comme vous voulez,Jamais,Non,3,3,2,Non pas du tout,Association,2.0,Non,Moins de 10min,1,Employé,1,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches,Ne pas pouvoir sortir dehors,Avoir des projets annulés,Vous vous sentez seul.e,Vous dormez mal,Vous avez des sautes d'humeur",Une femme,Aucun espace extérieur,40.0,3,76,"Les interactions à distance avec vos proches,Vous faites régulièrement des tâches personnelles pendant vos horaires de travail,La situation liée au Covid 19",2.14393168551,43.702501805,Aucune,A faire plus attention à mes proches,1.0,3.0,Célibataire
3,Dans votre domicile,3,1.0,2,Un peu,35.0,4,Un jour sur deux ou moins,2,4,La communication avec vos collègues est moins fluide,C'est pareil,Vous travaillez seul la plupart du temps,0.0,3,Oui,2,"Vous êtes plus concentré.e sur votre travail, Vous avez davantage de temps libre, Vous ressentez moins de pression professionnelle et êtes plus détendu.e, Vous pouvez faire des pauses dans la journée, Vous perdez moins de temps dans les transports",Exceptionnellement,Mon travail est plus étalé sur la journée,4,3,2,Non pas du tout,Petite et moyenne entreprise (10 à 250 salariés),2.0,"Oui, une fois de temps en temps",De 30min à 1h,3,Cadre ou profession intellectuelle supérieure,3,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches,Ne pas pouvoir aller chez le coiffeur,Ne pas pouvoir sortir dehors,Vous vous sentez seul.e",Un homme,"Oui, un jardin",80.0,2,44,"La situation liée au Covid 19,La présence d'autres personnes",5.61310830551,48.6889749341,1-3 personnes,"A télétravailler, A être plus empathique, A changer mes priorités",3.0,4.0,Célibataire
2,Dans votre domicile,3,3.0,2,"Non, je les utilisais déjà beaucoup",47.0,2,Une fois dans la semaine ou moins,4,4,La communication avec vos collègues est moins fluide,C'est pareil,Manager des équipes ou des projets,1.0,4,Oui,1,Vous pouvez faire des pauses dans la journée,Exceptionnellement,Mon travail est plus étalé sur la journée,2,4,3,Non pas du tout,Grande entreprise (plus de 5000 salariés),3.0,"Oui, une fois de temps en temps",De 10 à 30min,1,Cadre ou profession intellectuelle supérieure,3,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter",Un homme,"Oui, une cour",92.0,5,11,"La situation liée au Covid 19,La présence d'autres personnes,Les tâches ménagères",2.50339683029,48.7093130373,1-3 personnes,"A télétravailler, A être plus empathique, A changer mes priorités",2.0,4.0,En couple et nous sommes confinés ensemble
3,Dans votre domicile,2,4.0,4,Un peu,41.0,4,Une fois dans la semaine ou moins,4,3,"La communication avec vos collègues est moins fluide,Vous êtes trop souvent interrompu.e par les personnes qui vous entourent","Oui, on est plus proches","Travailler en équipe,Manager des équipes ou des projets",2.0,1,Oui,2,"Vous avez davantage de temps libre, Vous en profitez pour apprendre de nouvelles choses, Vous pouvez faire des pauses dans la journée, Vous perdez moins de temps dans les transports",Exceptionnellement,Mon travail est plus étalé sur la journée et le soir,3,3,3,Non pas du tout,Institution publique,4.0,"Oui, une fois de temps en temps",De 30min à 1h,4,Cadre ou profession intellectuelle supérieure,2,"Les gens qui sortent,la quarantaine devrait être plus stricte,La santé de vos proches,Avoir des projets annulés",Une femme,"Oui, un jardin",160.0,2,76,La situation liée au Covid 19,2.14393168551,43.702501805,1-3 personnes,"A télétravailler, A être plus autonome",4.0,4.0,En couple et nous sommes confinés ensemble
4,Dans votre domicile,2,5.0,4,"Non, je les utilisais déjà beaucoup",40.0,3,Une fois dans la semaine ou moins,3,5,"Vous êtes trop souvent interrompu.e par les personnes qui vous entourent,C'est difficile de se concentrer,La communication avec vos collègues est moins fluide",C'est pareil,"Faire du développement commercial,Travailler en équipe,Manager des équipes ou des projets",3.0,3,Oui,1,Vous avez davantage de temps libre,Exceptionnellement,Non,3,2,4,Non pas du tout,Entreprise de taille intermédiaire (250 à 5000 salariés),5.0,Non,De 10 à 30min,2,Cadre ou profession intellectuelle supérieure,2,La santé de vos proches,Un homme,"Oui, un jardin",130.0,5,44,"La présence d'autres personnes,Les interactions à distance avec vos proches,Vous faites régulièrement des tâches personnelles pendant vos horaires de travail",5.61310830551,48.6889749341,4-9 personnes,"A faire plus attention à mes proches, A changer mes priorités",4.0,4.0,En couple et nous sommes confinés ensemble
3,Dans votre domicile,2,1.0,3,Un peu,65.0,4,Une fois par jour,4,4,La communication avec vos collègues est moins fluide,C'est pareil,"Travailler en équipe,Vous travaillez seul la plupart du temps",0.0,3,Oui,1,Vous en profitez pour apprendre de nouvelles choses,1 fois par semaine,"Mon travail est plus étalé sur la journée, le soir et même le weekend",3,3,3,Non pas du tout,Institution publique,2.0,Comme avant (si vous en faisiez déjà),De 10 à 30min,2,Cadre ou profession intellectuelle supérieure,2,Aucune,Une femme,"Oui, un jardin",80.0,3,76,Vous faites régulièrement des tâches personnelles pendant vos horaires de travail,2.14393168551,43.702501805,Aucune,Rien,4.0,4.0,Célibataire
3,Chez un membre de votre famille,3,2.0,4,"Non, je les utilisais déjà beaucoup",29.0,4,Un jour sur deux ou moins,3,2,"Vous vous sentez isolé.e,C'est difficile de se concentrer,Vous avez l'impression de ne jamais vous arrêter de travailler",C'est pareil,Vous travaillez seul la plupart du temps,0.0,2,Oui,2,"Vous pouvez vous habiller comme vous voulez, Vous perdez moins de temps dans les transports",Tous les jours,Non,3,1,2,Non pas du tout,Très petite entreprise (moins de 10 salariés),2.0,Comme avant (si vous en faisiez déjà),Plus d'une heure,1,Cadre ou profession intellectuelle supérieure,1,"La santé de vos proches,Grossir,Ne pas pouvoir sortir dehors,Avoir des projets annulés,Vous vous sentez seul.e,Vous dormez mal",Une femme,"Oui, un jardin",300.0,4,53,"Vous regardez très régulièrement l'actualité,Les interactions à distance avec vos proches,Vous faites régulièrement des tâches personnelles pendant vos horaires de travail",-2.84155100405,48.177562744,Aucune,Rien,1.0,3.0,En couple mais nous ne sommes pas confinés ensemble
2,Chez un membre de votre famille,2,2.0,1,Un peu,22.0,4,Une fois dans la semaine ou moins,2,5,"Vous êtes trop souvent interrompu.e par les personnes qui vous entourent,C'est difficile de se concentrer,Vous avez l'impression de ne jamais vous arrêter de travailler","Oui, on est plus proches","Travailler en équipe,Manager des équipes ou des projets",0.0,4,Oui,1,"Vous en profitez pour apprendre de nouvelles choses, Vous dormez mieux",Jamais,Non,5,1,3,Beaucoup,Grande entreprise (plus de 5000 salariés),1.0,"Oui, une fois de temps en temps",Moins de 10min,3,Cadre ou profession intellectuelle supérieure,3,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches,Ne pas pouvoir sortir dehors,Les gens qui sortent,la quarantaine devrait être plus stricte",Un homme,"Oui, un jardin",100.0,2,75,"La situation liée au Covid 19,La présence d'autres personnes,Vous faites régulièrement des tâches personnelles pendant vos horaires de travail",0.207590925898,45.2068394103,Aucune,"A télétravailler, A être plus autonome, A faire plus attention à mes proches",4.0,5.0,Célibataire
2,Dans votre domicile,2,2.0,5,Beaucoup,25.0,3,Une fois dans la semaine ou moins,2,5,"La communication avec vos collègues est moins fluide,C'est difficile de se concentrer,Vous êtes trop souvent interrompu.e par les personnes qui vous entourent",C'est pareil,Travailler en équipe,0.0,1,Oui,2,"Vous pouvez faire des pauses dans la journée, Vous perdez moins de temps dans les transports, Vous dormez mieux",Jamais,Non,3,1,3,Non pas du tout,Institution publique,2.0,Non,De 10 à 30min,1,Cadre ou profession intellectuelle supérieure,1,"Les gens qui sortent,la quarantaine devrait être plus stricte,L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,Ne pas pouvoir aller chez le coiffeur,Ne pas pouvoir sortir dehors,Avoir des projets annulés,Ne pas pouvoir aller au bureau",Un homme,Aucun espace extérieur,75.0,5,84,"La situation liée au Covid 19,La présence d'autres personnes,Les interactions à distance avec vos proches,Vous regardez très régulièrement l'actualité,Vous faites régulièrement des tâches personnelles pendant vos horaires de travail,Les tâches ménagères",4.5361294779,45.5146468499,Aucune,A changer mes priorités,2.0,5.0,En couple et nous sommes confinés ensemble
2,Dans votre domicile,4,2.0,3,"Non, je les utilisais déjà beaucoup",26.0,3,Deux fois ou plus par jour,2,4,La communication avec vos collègues est moins fluide,"Oui, on est plus proches",Aucun des choix précédents,0.0,3,Non,4,"Vous perdez moins de temps dans les transports, Vous pouvez faire des pauses dans la journée, Vous ressentez moins de pression professionnelle et êtes plus détendu.e, Vous avez davantage de temps libre",Jamais,Mon travail est plus étalé sur la journée,3,4,4,Non pas du tout,Petite et moyenne entreprise (10 à 250 salariés),1.0,"Oui, le plus possible",De 30min à 1h,1,Cadre ou profession intellectuelle supérieure,2,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,Grossir,Ne pas pouvoir sortir dehors,Avoir des projets annulés",Un homme,Aucun espace extérieur,40.0,4,93,"La présence d'autres personnes,Vous n'êtes pas particulièrement distrait.e",6.06098593796,43.9587502921,Aucune,"A être plus autonome, A télétravailler",3.0,4.0,En couple mais nous ne sommes pas confinés ensemble
2,Dans votre domicile,3,2.0,4,Un peu,46.0,5,Une fois dans la semaine ou moins,3,4,"La communication avec vos collègues est moins fluide,C'est difficile de se concentrer","Oui, on est plus proches","Manager des équipes ou des projets,Faire du développement commercial,Travailler en équipe",0.0,5,Oui,3,"Vous en profitez pour apprendre de nouvelles choses, Vous interagissez davantage avec les personnes qui vous entourent, Vous perdez moins de temps dans les transports",Exceptionnellement,Non,4,3,3,Non pas du tout,Petite et moyenne entreprise (10 à 250 salariés),2.0,"Oui, une fois de temps en temps",De 10 à 30min,2,Profession libérale ou dirigeant,3,"Les gens qui sortent,la quarantaine devrait être plus stricte,La santé de vos proches,Ne pas pouvoir sortir dehors,Avoir des projets annulés",Un homme,"Oui, un jardin",110.0,3,93,"La situation liée au Covid 19,Les interactions à distance avec vos proches,Vous regardez très régulièrement l'actualité,Vous faites régulièrement des tâches personnelles pendant vos horaires de travail",6.06098593796,43.9587502921,Aucune,"A télétravailler, A faire plus attention à mes proches",4.0,4.0,En couple et nous sommes confinés ensemble
5,Dans votre domicile,2,2.0,5,"Non, je les utilisais déjà beaucoup",29.0,5,Un jour sur deux ou moins,3,4,Routine car c'est la principale activité pendant le confinement. Pas assez de diversité dans les activités.,C'est pareil,"Manager des équipes ou des projets,Travailler en équipe",0.0,3,Oui,5,"Vous êtes plus concentré.e sur votre travail, Vous en profitez pour apprendre de nouvelles choses, Vous pouvez vous habiller comme vous voulez, Vous ressentez moins de pression professionnelle et êtes plus détendu.e",Exceptionnellement,Non,3,3,4,Non pas du tout,Association,2.0,"Oui, une fois de temps en temps",De 10 à 30min,3,Profession intermédiaire,2,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches,Avoir des projets annulés,Ne pas pouvoir sortir dehors",Une femme,"Oui, un jardin",75.0,4,75,"La présence d'autres personnes,Les interactions à distance avec vos proches,Vous regardez très régulièrement l'actualité,Les tâches ménagères",0.207590925898,45.2068394103,Aucune,"A être plus empathique, A faire plus attention à mes proches",4.0,4.0,En couple et nous sommes confinés ensemble
3,Dans votre domicile,4,2.0,5,Un peu,57.0,3,Un jour sur deux ou moins,4,3,"Les journées en télétravail sont plus fatiguantes,Vous avez l'impression de ne jamais vous arrêter de travailler",C'est pareil,Manager des équipes ou des projets,0.0,2,Oui,4,"Vous êtes plus concentré.e sur votre travail, Votre entreprise s'organise mieux, Vous interagissez davantage avec les personnes qui vous entourent, Vous pouvez vous habiller comme vous voulez",Exceptionnellement,Non,3,4,3,Non pas du tout,Petite et moyenne entreprise (10 à 250 salariés),2.0,"Oui, une fois de temps en temps",De 30min à 1h,2,Cadre ou profession intellectuelle supérieure,2,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter",Une femme,"Oui, un jardin",200.0,5,52,"Vous n'êtes pas particulièrement distrait.e,Les interactions à distance avec vos proches",-0.816811477397,47.4780987977,Aucune,A faire plus attention à mes proches,3.0,5.0,En couple et nous sommes confinés ensemble
4,Dans votre domicile,2,3.0,5,"Non, je les utilisais déjà beaucoup",33.0,5,Une fois dans la semaine ou moins,3,4,"Les journées en télétravail sont plus fatiguantes,Vous avez l'impression de ne jamais vous arrêter de travailler","Oui, on est plus proches","Manager des équipes ou des projets,Travailler en équipe",1.0,3,Oui,3,"Vous ressentez moins de pression professionnelle et êtes plus détendu.e, Vous pouvez faire des pauses dans la journée, Vous interagissez davantage avec les personnes qui vous entourent, Vous perdez moins de temps dans les transports",1 fois par semaine,Oui car je suis en chômage partiel,4,4,4,Non pas du tout,Petite et moyenne entreprise (10 à 250 salariés),3.0,Comme avant (si vous en faisiez déjà),De 30min à 1h,1,Cadre ou profession intellectuelle supérieure,1,"Les gens qui sortent,la quarantaine devrait être plus stricte,L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches",Un homme,"Oui, un jardin",180.0,5,44,La situation liée au Covid 19,5.61310830551,48.6889749341,Aucune,A changer mes priorités,2.0,3.0,En couple et nous sommes confinés ensemble
2,Dans votre domicile,4,5.0,2,Un peu,45.0,4,Une fois dans la semaine ou moins,1,3,"Vous vous sentez isolé.e,Vous avez l'impression de ne jamais vous arrêter de travailler,Les journées en télétravail sont plus fatiguantes,La communication avec vos collègues est moins fluide","Non, nos relations se détériorent légèrement","Travailler en équipe,Manager des équipes ou des projets",2.0,1,Oui,1,"Vous en profitez pour apprendre de nouvelles choses, Vous ressentez moins de pression professionnelle et êtes plus détendu.e, Vous interagissez davantage avec les personnes qui vous entourent, Vous perdez moins de temps dans les transports",Exceptionnellement,"Mon travail est plus étalé sur la journée, le soir et même le weekend",2,5,1,Un peu,Entreprise de taille intermédiaire (250 à 5000 salariés),5.0,"Oui, une fois de temps en temps",De 30min à 1h,3,Employé,2,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches,Ne pas pouvoir sortir dehors,Avoir des projets annulés,Ne pas pouvoir aller au bureau,Vous avez des sautes d'humeur,Vous vous sentez seul.e",Une femme,"Oui, un jardin",120.0,5,53,"La situation liée au Covid 19,La présence d'autres personnes,Les interactions à distance avec vos proches,Les tâches ménagères",-2.84155100405,48.177562744,Aucune,"A faire plus attention à mes proches, A télétravailler",1.0,2.0,En couple et nous sommes confinés ensemble
4,Dans votre domicile,2,5.0,1,Beaucoup,50.0,4,Une fois par jour,5,3,"Vous êtes trop souvent interrompu.e par les personnes qui vous entourent,C'est difficile de se concentrer","Oui, on est plus proches","Travailler en équipe,Manager des équipes ou des projets",1.0,3,Oui,3,"Vous êtes plus concentré.e sur votre travail, Vous avez davantage de temps libre, Vous en profitez pour apprendre de nouvelles choses, Vous ressentez moins de pression professionnelle et êtes plus détendu.e, Vous pouvez faire des pauses dans la journée, Vous interagissez davantage avec les personnes qui vous entourent, Vous perdez moins de temps dans les transports",Jamais,Mon travail est plus étalé sur la journée et le soir,3,4,4,Non pas du tout,Institution publique,4.0,"Oui, le plus possible",De 30min à 1h,2,Profession intermédiaire,3,"Les gens qui sortent,la quarantaine devrait être plus stricte,La santé de vos proches,Grossir,Vous dormez mal,Vous avez des sautes d'humeur",Une femme,"Oui, une terrasse ou un balcon",120.0,5,93,"La présence d'autres personnes,Vous faites régulièrement des tâches personnelles pendant vos horaires de travail,Vous regardez très régulièrement l'actualité,Les interactions à distance avec vos proches",6.06098593796,43.9587502921,Aucune,"A être plus autonome, A télétravailler, A être plus empathique, A faire plus attention à mes proches, A changer mes priorités",4.0,4.0,En couple et nous sommes confinés ensemble
3,Dans votre domicile,3,3.0,4,Un peu,38.0,5,Une fois dans la semaine ou moins,5,4,"C'est difficile de se concentrer,Les journées en télétravail sont plus fatiguantes,Vous êtes trop souvent interrompu.e par les personnes qui vous entourent",C'est pareil,"Manager des équipes ou des projets,Travailler en équipe",1.0,3,Oui,1,"Vous pouvez vous habiller comme vous voulez, Vous interagissez davantage avec les personnes qui vous entourent, Vous perdez moins de temps dans les transports, Votre entreprise s'organise mieux",2 fois par semaine ou plus,Mon travail est plus étalé sur la journée,2,3,4,Un peu,Petite et moyenne entreprise (10 à 250 salariés),3.0,Comme avant (si vous en faisiez déjà),De 30min à 1h,4,Cadre ou profession intellectuelle supérieure,1,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches,Grossir,Ne pas pouvoir sortir dehors,Avoir des projets annulés",Une femme,"Oui, une terrasse ou un balcon",84.0,4,11,"La situation liée au Covid 19,La présence d'autres personnes,Les tâches ménagères",2.50339683029,48.7093130373,1-3 personnes,Rien,3.0,3.0,En couple et nous sommes confinés ensemble
2,Dans votre domicile,4,2.0,4,Beaucoup,56.0,5,Une fois dans la semaine ou moins,4,4,"C'est difficile de se concentrer,Vous avez l'impression de ne jamais vous arrêter de travailler",C'est pareil,"Manager des équipes ou des projets,Travailler en équipe,Vous travaillez seul la plupart du temps",0.0,5,Oui,2,"Vous en profitez pour apprendre de nouvelles choses, Vous ressentez moins de pression professionnelle et êtes plus détendu.e, Vous pouvez faire des pauses dans la journée, Vous perdez moins de temps dans les transports",Jamais,Non,3,3,3,Non pas du tout,Grande entreprise (plus de 5000 salariés),2.0,"Oui, une fois de temps en temps",De 10 à 30min,1,Profession intermédiaire,3,"Les gens qui sortent,la quarantaine devrait être plus stricte,La santé de vos proches,L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,Ne pas pouvoir sortir dehors",Une femme,"Oui, une terrasse ou un balcon",75.0,3,52,"La présence d'autres personnes,Les interactions à distance avec vos proches",-0.816811477397,47.4780987977,Aucune,"A changer mes priorités, A télétravailler",3.0,4.0,En couple et nous sommes confinés ensemble
4,Dans votre domicile,3,3.0,5,Beaucoup,50.0,4,Une fois dans la semaine ou moins,5,2,Vous vous sentez isolé.e,C'est pareil,"Manager des équipes ou des projets,Travailler en équipe",0.0,4,Oui,4,"Vous êtes plus concentré.e sur votre travail, Vous ressentez moins de pression professionnelle et êtes plus détendu.e, Vous perdez moins de temps dans les transports",Jamais,Non,2,1,4,Non pas du tout,Entreprise de taille intermédiaire (250 à 5000 salariés),2.0,"Oui, une fois de temps en temps",De 10 à 30min,1,Employé,2,"Les gens qui sortent,la quarantaine devrait être plus stricte,L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches,Ne pas pouvoir sortir dehors,Vous vous sentez seul.e",Une femme,"Oui, un jardin",90.0,5,52,"La situation liée au Covid 19,Les interactions à distance avec vos proches,Vous regardez très régulièrement l'actualité",-0.816811477397,47.4780987977,Aucune,"A télétravailler, A faire plus attention à mes proches, A changer mes priorités",2.0,3.0,Célibataire
4,Dans votre domicile,4,4.0,5,Beaucoup,42.0,4,Une fois par jour,5,4,"Les journées en télétravail sont plus fatiguantes,Vous avez l'impression de ne jamais vous arrêter de travailler",C'est pareil,"Manager des équipes ou des projets,Travailler en équipe",2.0,5,Oui,3,"Vous dormez mieux, Vous perdez moins de temps dans les transports",1 fois par semaine,"Mon travail est plus étalé sur la journée, le soir et même le weekend",2,3,4,Non pas du tout,Petite et moyenne entreprise (10 à 250 salariés),4.0,Comme avant (si vous en faisiez déjà),Plus d'une heure,4,Cadre ou profession intellectuelle supérieure,3,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches",Une femme,"Oui, un jardin",78.0,5,11,"Les interactions à distance avec vos proches,La présence d'autres personnes",2.50339683029,48.7093130373,Aucune,A changer mes priorités,4.0,5.0,En couple et nous sommes confinés ensemble
3,Dans votre domicile,3,2.0,5,Un peu,31.0,5,Un jour sur deux ou moins,3,5,Vous avez l'impression de ne jamais vous arrêter de travailler,"Oui, on est plus proches","Manager des équipes ou des projets,Travailler en équipe",0.0,4,Oui,4,"Vous pouvez vous habiller comme vous voulez, Vous ressentez moins de pression professionnelle et êtes plus détendu.e, Vous interagissez davantage avec les personnes qui vous entourent, Vous dormez mieux, Vous perdez moins de temps dans les transports",Exceptionnellement,Non,3,2,5,Non pas du tout,Grande entreprise (plus de 5000 salariés),2.0,"Oui, une fois de temps en temps",De 10 à 30min,4,Cadre ou profession intellectuelle supérieure,3,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches",Une femme,"Oui, une terrasse ou un balcon",71.0,5,11,La situation liée au Covid 19,2.50339683029,48.7093130373,Aucune,A changer mes priorités,5.0,5.0,En couple et nous sommes confinés ensemble
